0.323		0.00138 0.00032
0.608		0.00140 0.00012
1.465		0.00228	0.000228
1.465		0.0028	0.0009
1.667		0.004	0.0004
4.83		0.0042	0.00042
4.885		0.0035	0.0005
4.885		0.003	0.0003
4.885		0.00469	0.000469
4.885		0.0043	0.0005
4.885		0.005	0.0005
4.885		0.0041	0.0004
4.885		0.00459	0.0004
8.45		0.0047	0.0005
14.62		0.004739	0.0002476182
14.94		0.00225	0.000225
14.965		0.00459	0.000459
14.965		0.0049	0.0005
14.965		0.00469	0.0004
15		0.0036	0.00036
15		0.0028	0.00028
15		0.0033	0.00033
15		0.0027	0.00027
15.37		0.0043736	0.0002442989
16.12		0.004788	0.0002829791
16.87		0.0048236	0.00027864
17.62		0.005484	0.0003072809
22.485		0.017	0.004
22.5		0.0073	0.0015
23.71		0.007	0.0014
88		0.09	0.03
90		0.123	0.0123
98		0.131	0.004
110		0.13	0.03
112		0.15	0.01
113		0.17	0.017
230		1.5	0.15
230		1.569	0.23
231		3.4	0.34
240		2.37	0.48
250		1.72	0.172
300		5.7	1.3
345		6.363	0.63
353		19.01	1.901
353		12.1	1
400		18.2	2.4
666		94	19
857		164	49
