0.608	0.00058	0.0002
3.0	0.000764	0.000038
4.89	0.0007	0.0001
4.89	0.0012	0.0001
4.89	0.00103	0.0001
4.89	0.0006	0.0001
5.4	0.00105	0.0000529
8.5	0.00127	0.00005
8.5	0.00129	0.000065
8.5	0.0011	0.0000559
15	0.00201	0.000201
16.12	0.0014	0.00007
23	0.0029	0.00029
43.3	0.0039	0.0002191461
98	0.057	0.004
110	0.071	0.0071
110	0.072	0.0072
111	0.075	0.0075
112	0.08	0.008
147	0.186	0.017
230	0.443	0.0443
230	0.44	0.044
250	0.42	0.042
260	0.489	0.0489
270	0.532	0.0532
273	0.44	0.03
273	0.532	0.048
284	0.489	0.033
375	0.94	0.1
390	0.86	0.1
480	1.21	0.2
500	1.4	0.2
666	3.39	0.44
666	3.6	0.4
857	9.6	1.1
